CarveMe_rxns	KBase_rxns	AuReMe_rxns	RAVEN_rxns	consensus_rxns	sums_rxns
1793	976	912	1999	4106	5680
1826	971	622	1966	4053	5385
1738	1049	253	2153	3971	5193
1770	1048	358	2133	4035	5309
2023	1052	417	2264	4361	5756
1978	1094	427	2250	4396	5749
1835	1059	413	2134	4111	5441
1786	984	483	1964	3986	5217
1975	1093	531	2255	4380	5854
1822	1049	330	2155	4072	5356
1799	1058	340	2211	4108	5408
1784	1064	295	2221	4083	5364
1821	1112	363	2316	4269	5612
1980	1110	638	2305	4513	6033
1976	1109	288	2283	4350	5656
1819	1106	359	2306	4249	5590
2018	1069	573	2264	4433	5924
2021	1066	389	2351	4345	5827
1915	1195	358	2632	4565	6100
1956	1177	824	2377	4675	6334
1919	1292	394	2551	4567	6156
1981	1094	720	2228	4392	6023
1963	991	313	2289	4211	5556
1871	1014	227	2156	3949	5268
1993	993	594	2308	4409	5888
1649	1033	530	2155	3977	5367
1878	1060	624	2201	4255	5763
1968	1047	719	2253	4438	5987
2128	1227	425	2696	4846	6476
1582	998	577	1947	3768	5104
1666	925	531	1788	3694	4910
2021	1136	417	2309	4394	5883
1573	990	1022	1993	4015	5578
1676	1007	414	1949	3813	5046
2001	1135	272	2282	4337	5690
1745	987	913	1818	3942	5463
1465	893	816	1699	3616	4873
1704	847	474	1836	3639	4861
1736	930	549	1898	3889	5113
1612	976	909	1997	3949	5494
1481	912	352	1758	3355	4503
1676	882	528	1890	3744	4976
2295	1244	453	2797	5083	6789
1548	978	654	1902	3729	5082
1634	751	633	1473	3313	4491
1929	1186	257	2487	4401	5859
1669	954	406	1866	3698	4895
1713	1009	420	1985	3830	5127
1642	918	743	1774	3818	5077
1633	1070	939	1830	3995	5472
1841	982	654	2059	4143	5536
1928	1127	534	2380	4453	5969
1661	842	602	1940	3765	5045
1622	1066	469	1793	3700	4950
1841	1010	753	2134	4351	5738
1837	935	429	2084	4037	5285
1881	989	902	2171	4464	5943
1628	794	146	1614	3194	4182
1800	1127	489	2286	4218	5702
1734	978	756	1836	3862	5304
1864	999	554	2229	4347	5646
1689	951	680	1882	3863	5202
1683	948	228	2088	3759	4947
1810	972	335	1975	3950	5092
1832	1064	460	2195	4177	5551
1774	1038	1196	2146	4413	6154
1803	1047	509	2657	4587	6016
