CarveMe_rxns	KBase_rxns	AuReMe_rxns	RAVEN_rxns	consensus_rxns	sums_rxns
1745	1152	322	2421	4252	5640
1616	949	444	2169	3948	5178
1798	1181	374	2601	4483	5954
1605	1003	614	2234	4051	5456
1758	1147	259	2759	4586	5923
1428	1229	856	2297	4193	5810
1359	934	1157	1924	3866	5374
1798	1220	537	2565	4514	6120
1725	1219	484	2601	4506	6029
1754	1145	777	2370	4456	6046
1703	1109	662	2414	4413	5888
1622	987	367	2258	4004	5234
1771	1168	476	2405	4334	5820
1786	1130	251	2477	4349	5644
1784	1115	607	2390	4433	5896
1725	1132	251	2482	4288	5590
1647	1000	808	2282	4258	5737
1709	1103	786	2370	4410	5968
1885	1185	474	2747	4721	6291
1537	1054	547	2523	4299	5661
1766	1188	692	2726	4704	6372
1696	1017	354	2243	4029	5310
1619	981	665	2264	4152	5529
1399	851	452	1768	3339	4470
1601	1061	436	2148	3947	5246
1619	981	1078	2268	4337	5946
1358	996	1004	1947	3833	5305
1672	944	616	2507	4402	5739
1802	1082	602	2901	4855	6387
1869	1205	347	2772	4675	6193
1673	1079	611	2752	4645	6115
1428	1229	1063	2295	4298	6015
1841	1172	802	3064	5165	6879
1870	1205	274	2772	4647	6121
1563	1032	549	2628	4402	5772
1855	1175	216	2678	4514	5924
1811	1215	727	2634	4712	6387
1767	1202	863	3150	5287	6982
1631	1100	998	2798	4859	6527
1460	994	864	2102	3984	5420
1492	1042	673	2614	4410	5821
1897	1188	335	2784	4694	6204
1517	839	314	1792	3382	4462
1379	970	472	1867	3497	4688
1789	1120	645	2321	4400	5875
1616	973	577	2362	4201	5528
1699	973	1157	2322	4438	6151
1370	1026	914	2067	3882	5377
1631	1292	1311	2515	4810	6749
1555	1044	1543	2200	4415	6342
1681	1028	456	2469	4283	5634
1706	1146	342	2427	4242	5621
1811	1169	521	2670	4623	6171
1838	1156	502	2578	4531	6074
1634	963	771	2312	4327	5680
1464	1035	691	2536	4329	5726
1616	993	1098	2365	4521	6072
1593	1070	469	2113	3895	5245
1318	965	609	2040	3672	4932
1719	1132	438	2484	4382	5773
1670	1167	679	2491	4453	6007
1714	1185	709	2652	4642	6260
1612	1001	300	2074	3791	4987
1501	987	609	1951	3747	5048
1691	1053	611	2245	4244	5600
1508	910	436	1981	3632	4835
1569	1128	252	2662	4325	5611
1818	1149	189	2478	4312	5634
1322	991	458	2368	3952	5139
1695	1154	222	2444	4177	5515
1761	1085	433	2551	4445	5830
1543	993	1097	2363	4455	5996
1825	1153	528	2561	4562	6067
1831	1157	374	2557	4489	5919
1545	990	403	2000	3756	4938
1543	1054	547	2523	4300	5667
1332	991	502	2027	3633	4852
1885	1185	502	2745	4730	6317
1516	924	1307	2274	4296	6021
1639	1307	539	2510	4421	5995
1428	977	366	2378	3933	5149
1601	981	994	2028	4106	5604
1885	1185	401	2745	4677	6216
1696	1182	242	2992	4725	6112
1763	1170	373	3017	4898	6323
1759	1145	475	2419	4366	5798
1751	1144	777	2369	4455	6041
1709	1103	786	2370	4410	5968
1880	1142	751	2396	4552	6169
1857	1191	415	2735	4679	6198
1536	987	547	1859	3673	4929
1727	1132	468	2481	4399	5808
1883	1198	206	2785	4632	6072
1858	1184	425	2669	4644	6136
1378	985	548	1913	3590	4824
1725	1284	320	2879	4677	6208
1404	934	809	1722	3549	4869
1810	1085	249	2549	4338	5693
1697	1151	446	2453	4306	5747
1654	957	970	2433	4422	6014
1554	957	755	2432	4255	5698
1548	912	1315	2301	4340	6076
1914	1216	571	2688	4732	6389
1814	1199	356	3164	5049	6533
1769	1125	355	2380	4268	5629
1348	960	653	1945	3633	4906
1820	1247	298	2761	4657	6126
1652	1123	611	2374	4305	5760
1811	1119	820	2483	4611	6233
1746	1134	544	2353	4321	5777
1735	1233	589	2659	4623	6216
1616	1030	430	2229	3965	5305
1910	1203	518	2693	4780	6324
1587	907	329	1927	3588	4750
1852	1200	382	2725	4650	6159
1754	1022	377	2561	4372	5714
1897	1190	630	2730	4848	6447
1417	936	558	2014	3617	4925
1573	1195	381	2459	4156	5608
1564	971	394	2208	3890	5137
1455	934	1181	2115	4060	5685
1840	1140	846	2662	4781	6488
1630	1065	698	2145	4052	5538
1755	1123	354	2366	4207	5598
1729	1134	678	2567	4452	6108
1807	1180	327	2566	4463	5880
1467	988	746	2098	3920	5299
1522	951	802	2334	4183	5609
1777	1162	683	2365	4391	5987
1483	910	584	1929	3643	4906
1273	864	1168	2059	3843	5364
1674	946	394	2509	4269	5523
1469	1110	301	2180	3792	5060
1490	973	287	1805	3410	4555
1825	1053	477	2776	4742	6131
1646	1103	276	2178	3931	5203
1401	993	1036	1844	3722	5274
1555	1044	1539	2200	4413	6338
1864	1203	555	2754	4767	6376
1609	959	227	2039	3678	4834
1620	1009	568	2118	3957	5315
1675	1250	320	2753	4528	5998
1433	943	1163	2150	4087	5689
1605	1136	386	2318	4039	5445
1747	1195	1146	2505	4787	6593
1676	1122	344	2389	4199	5531
1762	1190	230	2732	4483	5914
1499	996	1004	1947	3953	5446
1577	954	682	2045	3885	5258
1429	792	734	1706	3439	4661
1552	998	1120	2131	4236	5801
1422	1014	838	2460	4278	5734
1647	1058	712	2107	4021	5524
1680	1086	634	2902	4774	6302
1642	925	377	2086	3840	5030
1400	914	170	2033	3413	4517
1603	920	883	1994	3937	5400
1673	1156	563	2499	4340	5891
