CarveMe_rxns	KBase_rxns	AuReMe_rxns	RAVEN_rxns	consensus_rxns	sums_rxns
1458	1101	233	2237	3779	5029
1626	1290	1346	2510	4805	6772
1348	1013	333	2162	3678	4856
1692	1163	801	2951	5017	6607
1683	1200	300	2460	4225	5643
1350	977	410	2170	3753	4907
1604	981	598	2169	4047	5352
1703	1090	266	2513	4251	5572
1661	1315	466	2537	4436	5979
1538	947	486	2139	3862	5110
1566	1177	406	2423	4146	5572
1400	979	805	2073	3850	5257
1651	1055	337	2280	4077	5323
1577	1060	503	2169	3966	5309
1574	978	635	1954	3784	5141
1643	1067	316	2230	3986	5256
1512	1140	63	2346	3875	5061
1706	1296	283	2582	4403	5867
1577	952	620	1898	3720	5047
1530	946	319	2136	3755	4931
1323	1010	376	2040	3594	4749
1504	993	367	2213	3904	5077
1536	978	603	1982	3752	5099
1602	1187	316	2403	4141	5508
1570	1040	583	2577	4402	5770
1425	992	257	2423	3933	5097
1410	1032	424	2224	3837	5090
1407	1029	1411	2242	4286	6089
1530	993	809	2140	4048	5472
1248	935	796	1719	3399	4698
1697	1052	823	2242	4331	5814
1689	1058	474	2207	4099	5428
