Row	Soil522	Soil531	Soil535	Soil538	Soil724D2	Soil736	Soil745	Soil748	Soil750	Soil761	Soil762	Soil763	Soil764	Soil768D1	Soil772	Soil773	Soil774	Soil777	Soil782	Soil787	Soil796	Soil802	Soil809	Soil810
Soil522	0	1	3	3	3	3	3	3	1	1	1	1	1	3	1	3	3	2	3	3	3	3	3	0
Soil531	1	0	1	3	1	3	1	3	1	1	1	1	1	3	1	1	1	0	3	3	3	3	3	0
Soil535	3	1	0	3	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3	1	3	3	3	0
Soil538	3	3	3	0	1	3	1	3	1	1	1	1	1	3	1	1	1	0	3	1	3	3	3	0
Soil724D2	3	1	1	1	0	1	1	1	1	1	1	1	1	3	1	1	1	0	3	3	3	3	3	0
Soil736	2	2	1	2	0	0	2	2	0	0	0	0	0	2	0	0	1	3	3	2	3	3	3	0
Soil745	3	1	1	1	1	3	0	3	1	1	1	1	1	3	1	1	1	0	3	3	3	3	3	0
Soil748	3	3	1	3	1	3	3	0	1	1	1	1	1	3	1	1	1	0	3	1	3	3	3	0
Soil750	1	1	1	1	1	1	1	1	0	1	1	1	1	3	1	1	1	0	3	3	3	3	3	0
Soil761	1	1	1	1	1	1	1	1	1	0	1	1	1	3	1	1	1	0	3	3	3	3	3	0
Soil762	1	1	1	1	1	1	1	1	1	1	0	1	1	3	1	3	1	2	3	3	3	3	3	0
Soil763	1	1	1	1	1	1	1	1	1	1	1	0	1	3	1	1	1	0	2	3	3	3	3	0
Soil764	1	1	1	1	1	1	1	1	1	1	1	1	0	3	1	1	1	0	3	3	3	3	3	0
Soil768D1	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	1	1	0	3	3	3	3	3	0
Soil772	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	3	3	3	3	3	0
Soil773	3	1	1	1	1	1	1	1	1	1	3	1	1	1	1	0	1	0	3	1	3	3	3	0
Soil774	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	3	3	3	3	3	0
Soil777	2	1	1	1	1	3	1	1	1	0	3	0	0	1	1	1	1	0	3	3	3	3	3	0
Soil782	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	1	1	1	0
Soil787	3	3	1	1	3	3	3	1	3	3	3	3	3	3	3	1	3	2	1	0	3	3	3	0
Soil796	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	0	3	3	0
Soil802	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	0	3	0
Soil809	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	0	0
Soil810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
